Lng,Lat,Naam,beschrijving
Lng,Lat,Naam,beschrijving
4.893583,52.367168,Muntsluis (1),muntplein
4.8896288749,52.3674130265,Heiligewegsluis (2),singel_hoek_leidsestraat
4.8877835151,52.3684087644,Krijtbergbrug (3),singel_bij_beulingsloot
4.8878264304,52.3687756095,Heibrug (4),singel_hoek_wijde_heisteeg
4.8880624648,52.3702036562,Raambrug (5),singel_hoek_oude_spiegelstraat
4.8884701606,52.3722080843,Gasthuisbrug (6),singel_hoek_gasthuismolensteeg
4.8713683959,52.3725748979,Brug no. 7,hugo_de_grootkade_hoek_frederik_
4.8888778564,52.3732430148,Huiszittenbrug (8),singel_hoek_raadhuisstraat
4.8894196626,52.3745562936,Torensluis (9),torensluis
4.8913025733,52.3762821642,Lijnbaansbrug (10),singel_hoek_lijnbaanssteeg
4.8910879966,52.3764262566,Brug no. 11,singel_hoek_blauwburgwal
4.8920965072,52.3770419189,Korsjesbrug (12),singel_hoek_korsjespoortsteeg
4.8976755019,52.3787185726,Melkmarktsbrug (13),stationsplein
4.8944568511,52.3790460366,Haarlemmersluis (14),haarlemmersluis
4.8941135284,52.3788495585,Brug no. 15,brouwersgrcaht_hoek_singel
4.8922681686,52.3792294154,Melkmeisjesbrug (16),melkmeisjesbrug
4.8917531844,52.3792687108,West-Indische brug (17),herengracht_hoek_brouwersgracht
4.8898005363,52.376858531,Brug no. 18,herengracht_hoek_blauwburgwal
4.890143859,52.3769109277,Brug no. 19,blauwburgwal_hoek_herengracht
4.8880195495,52.3748412143,Brug no. 20,herengracht_hoek_oude_leliestraa
4.8876762267,52.3748412143,Brug no. 21,herengracht_hoek_leliegracht
4.8871934291,52.3734100425,Warmoesbrug (22),herengracht_hoek_raadhuisstraat
4.8708104964,52.36679723,Brug no. 23,bilderdijkkade_hoek_kinkerstraat
4.8870539542,52.3722604864,Brug no. 24,herengracht_hoek_gasthuismolenst
4.8868822928,52.3702691618,Brug no. 25,herengracht_hoek_oude_spiegelstr
4.8867320892,52.3687870734,Vingboomsbrug (26),herengracht_hoek_wijde_heisteeg
4.8869788524,52.3681238022,Beulingsluis (27),herengracht
4.8865389701,52.367530944,Vierheemskinderensluis (28),herengracht_hoek_leidsegracht
4.8883038636,52.3667808523,Koningssluis (29),herengracht_hoek_leidsestraat
4.8928099748,52.3651758099,Brug no. 30,herengracht_hoek_vijzelstraat
4.8958998796,52.3646254962,Brug no. 31,herengracht_hoek_reguliersgracht
4.8960554477,52.3648023834,Kaassluis (32),herengracht_hoek_thorbeckeplein
4.8978525277,52.3651496046,Brug no. 34,herengracht_hoek_utrechtsestraat
4.9005025502,52.3656343994,Hendrick Jacobsz Staetsbrug (35),herengracht_hoek_amstel
4.9011355516,52.3643437853,Lucas Jansz Sinckbrug (36),keizersgracht_hoek_amstel
4.8983621474,52.3638425976,Peylsluis (37),keizersgracht_hoek_utrechtsestra
4.8961681005,52.3634003684,Oetgenssluis (38),keizersgracht_hoek_reguliersgrac
4.8959910747,52.3635707091,Brug no. 39,keizersgracht_hoek_reguliersgrac1
4.8960018035,52.3632038207,Brug no. 40,keizersgracht_hoek_reguliersgrac2
4.8923647281,52.3638655279,Brug no. 41,keizersgracht_hoek_vijzelstraat
4.8894679424,52.3642782709,Wielrijdersbrug (42),keizersgracht_hoek_nieuwe_spiege
4.886447775,52.3659668738,Brug no. 43,keizersgracht_hoek_leidsestraat
4.8845652955,52.3667904894,Hemonybrug (44),keizersgracht_hoek_leidsegracht
4.8851124662,52.3670033988,Steenhouwerijbrug (45),keizersgracht_hoek_leidsegracht1
4.8847530502,52.3670001233,Quellijnbrug (46),keizersgracht_hoek_leidsegracht2
4.8845648643,52.3688673203,Brug no. 47,keizersgracht_hoek_runstraat
4.8846833127,52.3703639554,Felix Meritisbrug (48),keizersgracht_hoek_wolvenstraat
4.8848603385,52.3723683761,Kees Fensbrug (49),keizersgracht_hoek_reestraat
4.909890713,52.3691733781,Latjesbrug (50),nieuwe_herengracht_hoek_anne_fra
4.8860297816,52.3754747211,Brug no. 51,keizersgracht_hoek_leliegracht
4.8857079166,52.3754910956,Brug no. 52,keizersgracht_hoek_leliegracht1
4.8862229007,52.3753142511,Brug no. 53,keizersgracht_hoek_leliegracht2
4.8879287856,52.3775214816,Noordschebrug (54),keizersgracht_hoek_prinsenstraat
4.8897634166,52.3795845202,Pastoorsbrug (55),keizersgracht_hoek_brouwersgrach
4.89019257,52.3796303644,Brug no. 56,keizersgracht_hoek_brouwersgrach1
4.8886368888,52.3804228067,Papiermolensluis (57),korte_prinsengracht_hoek_brouwer
4.8949990886,52.3795124792,Haringpakkersbrug (58),singel_hoek_prins_hendrikkade
4.8882935661,52.3803638652,Lekkeresluis (59),prinsengracht_hoek_brouwersgrach
4.8862229007,52.3781043816,Prinsensluis (60),prinsengracht_hoek_prinsenstraat
4.8843346256,52.3760740224,Leliesluis (61),prinsengracht_hoek_leliegracht
4.8845277446,52.3759102797,Grote Brouwerssluis (62),prinsengracht_hoek_leliegracht1
4.8830900806,52.3740042698,Nieuwe-Wercksbrug (63),prinsengracht_hoek_westermarkt
4.8829184192,52.3724256908,Reesluis (64),prinsengracht_hoek_reestraat
4.8827413934,52.370432736,Berensluis (65),prinsengracht_hoek_berenstraat
4.882569732,52.3689260877,Brug no. 66,prinsengracht_hoek_looiersplein
4.8827092069,52.3662795028,Kleine Brouwerssluis (67),prinsengracht_hoek_leidsegracht
4.8845219489,52.3650284051,Aalmoezeniersbrug (68),prinsengracht_hoek_leidsestraat
4.888051736,52.3626927926,Antiquairbrug (69),prinsengracht_hoek_nieuwe_spiege1
4.8917102691,52.3622145173,Walenweeshuissluis (70),prinsengracht_hoek_vijzelstraat
4.8963022109,52.3616248557,Duyfjesbrug (71),prinsengracht_hoek_reguliersgrac
4.896098363,52.3614545075,Brug no. 72,prinsengracht_hoek_reguliersgrac1
4.8960876342,52.3617755477,Brug no. 73,prinsengracht_hoek_reguliersgrac2
4.89603399,52.3624110694,Kerksluis (74),reguliersgracht_hoek_kerkstraat
4.8990166064,52.3620900338,Brug no. 75,prinsengracht_hoek_utrechtsestra
4.9019992229,52.3626600342,Frans Hendriksz Oetgensbrug (76),prinsengracht_hoek_amstel
4.902642953,52.3614872668,Henrick de Keijserbrug (77),achtergracht_hoek_amstel
4.9269330379,52.3667513725,Gooyersbrug (78),funenkade
4.8866248008,52.3575887384,Brandweerbrug (79),eerste_jacob_van_campenstraat
4.9192726489,52.3679567546,Entrepotdoksluis (80),hoogte_kadijk_hoek_entrepotdoksl
4.8961627361,52.3598066829,Brug no. 81,reguliersgracht_hoek_lijnbaansgr
4.8862492915,52.3607763843,Museumbrug (82),weteringschans_hoek_museumstraat
4.8908895131,52.3583635573,Freddy Heinekenbrug (84),ferdinand_bolstraat_hoek_stadhou
4.9035978194,52.3679698564,Brug no. 85,mr_visserplein3
4.8909807082,52.3600032457,Bakkerijbrug (86),nieuwe_vijzelstraat
4.8877405998,52.3626371033,Spiegelbrug (87),prinsengracht
4.8869037505,52.3617722718,Brug no. 88,spiegelgracht_hoek_zieseniskade
4.8884594318,52.3608189721,Brug no. 89,lijnbaansgracht_hoek_weteringstr
4.8881751176,52.360525771,Weteringpoort (90),weteringschans
4.9173414584,52.3702675242,Paerlduiker (91),oostenburgergracht_23
4.9335151788,52.3930788612,Blauwezandbrug (92),waddendijk
4.8825532075,52.366070055,Pieter Goemansbrug (93),prinsengracht_hoek_leidsegracht2
4.8809224244,52.3654804449,Brug no. 94,leidsegracht_hoek_lijnbaansgrach
4.8900204774,52.382219037,Brug no. 95,haarlemmer_houttuinen
4.8821991559,52.3673769961,Brug no. 96,prinsengracht_hoek_passeerdersgr
4.8869413015,52.3617689959,Brug no. 97,zieseniskade_hoek_weteringschans
4.8800158378,52.3667317192,Brug no. 98,raamplein_hoek_passeerdersgracht
4.8794472095,52.36714116,Brug no. 99,raamplein_hoek_passeerdersgracht1
4.8792272683,52.3678093591,Brug no. 100,looiersgracht_hoek_lijnbaansgrac
4.905786502,52.3562028761,Nieuwe Amstelbrug (101),ceintuurbaan_hoek_weesperzijde
4.8813676711,52.3685266792,Brug no. 102,looiersgracht_hoek_1e_looiersdwa
4.8823118087,52.3688018126,Looierssluis (103),prinsengracht_hoek_looiersgracht
4.8945265886,52.3701430635,Makelaarsbruggetje (105),o_z_achterburgwal_hoek_st
4.8849940177,52.3740093717,Niek Engelschmanbrug (106),keizersgracht_hoek_raadhuisstraa
4.8782724019,52.3688394796,Baanbrug (107),elandsgracht_hoek_marnixstraat
4.8721462365,52.371340165,Brug no. 108,da_costakade_hoek_de_clercqstraa
4.9978452798,52.3799989431,Brug no. 109,durgerdammergouw
4.8773550864,52.3704853297,Brug no. 110,lijnbaansgracht_hoek_lauriergrac
4.879608142,52.37110435,Brug no. 111,lauriergracht_hoek_hazenstraat
4.8825800296,52.3718674689,Caetsbaanbrug (112),prinsengracht_hoek_lauriergracht
4.9333864328,52.3636165699,Brug no. 113,middenweg2
4.9205976602,52.3692112342,Oesjesduiker (114),oostenburgergracht
4.9380642053,52.3578442827,Brug no. 115,valentijnkade
4.8864531394,52.3522580088,Ceintuurbrug (116),ruysdaelkade_hoek_ceintuurbaan
4.8763304826,52.3723341768,Jordaanbrug (117),rozengracht_hoek_lijnbaansgracht
4.8768669244,52.3739602467,Brug no. 118,bloemgracht_hoek_lijnbaansgracht
4.8770707723,52.3738685465,Brug no. 119,lijnbaansgracht_hoek_bloemgracht
4.8792379972,52.3743565205,Atlasbrug (120),bloemgracht_hoek_3e_leliedwarsst
4.88114773,52.3748215646,Rosa Overbeekbrug (121),bloemgracht_hoek_2e_leliedwarsst
4.8830360051,52.3662485743,Beudekerbrug (122),prinsengracht_hoek_leidsegracht1
4.8832559463,52.3751916314,Kees de Jongenbrug (123),prinsengracht_hoek_bloemgracht
4.8845219489,52.376563799,Pansemertbrug (124),prinsengracht_hoek_egelantiersgr
4.8824083682,52.3761904688,Hilletjesbrug (125),egelantiersgracht_hoek_1e_lelied
4.8805469152,52.375804036,Brug no. 126,egelantiersgracht_hoek_2e_lelied
4.8777359601,52.3752669544,Brug no. 127,lijnbaansgracht_hoek_egelantiers
4.8791897174,52.3777099682,Anjeliersbrug (128),lijnbaansgracht_hoek_westerstraa
4.8573297139,52.3684808235,Van Kinsbergenbrug (129),groene_bruggetje
4.8782294866,52.3762690649,Trapjesbrug (130),nieuwe_tuinstraat_hoek_lijnbaans
4.915077674,52.3618312381,Oude Koekjesbrug (131),korte_s'Gravesandestraa
4.8737877485,52.3810173186,Brug no. 132,de_wittenkade_hoek_jac
4.8682355758,52.3704722287,Brug no. 135,bilderdijkkade_hoek_de_clercqstr
4.8586332675,52.3539749212,Willemsparkbrug (136),oranje_nassaulaan
4.8867320892,52.3546564252,Diamantbrug (137),ruysdaelstraat_hoek_hobbemakade
4.8723554488,52.3693717264,Brug no. 138,da_costakade_hoek_potgieterstraa
4.8770439502,52.3832046182,Staatsliedenbrug (139),de_wittenkade_hoek_2e_nassaustra
4.8637938377,52.3630580473,Brug no. 140,in
4.9278181668,52.350994856,Brug no. 141,verbinding_klein_dantzig_met_par
4.8811530944,52.3807881043,Ouwe Fransenbrug (142),lijnbaansgracht_hoek_willemsstra
